solvent,salt,anodic_limit_V_vs_AgAgCl,cathodic_limit_V_vs_AgAgCl,reference,electrolyte,electrode,temperature_C,cutoff,source,tier,limit_set_by_electrolyte,use_for_gate,notes
acetonitrile,TBABF4,3.245,-3.055,Ag/AgCl,0.1 M TBABF4,Pt,,practical CV edge,"Yan et al., Green Chem. 2020, DOI 10.1039/D0GC01247E, Table 3; native +3.2/-3.1 V vs SCE; SCE->Ag/AgCl +0.045 V",A-crossref,True,True,Conditioned formulation limit; exact library salt match.
acetonitrile,LiClO4,2.445,-3.455,Ag/AgCl,LiClO4,Pt,,practical CV edge,"Yan et al., Green Chem. 2020, DOI 10.1039/D0GC01247E, Table 3; native +2.4/-3.5 V vs SCE; SCE->Ag/AgCl +0.045 V",A-crossref,True,True,Conditioned formulation limit; exact library salt match.
water,KCl,1.145,-1.255,Ag/AgCl,0.1 M KCl,C,,practical CV edge,"Yan et al., Green Chem. 2020, DOI 10.1039/D0GC01247E, Table 3; native +1.1/-1.3 V vs SCE; SCE->Ag/AgCl +0.045 V",A-crossref,False,True,Mandatory aqueous control; practical carbon-electrode window.
DCM,TBAClO4,1.845,-1.655,Ag/AgCl,0.1 M TBAClO4,Pt,,practical CV edge,"Yan et al., Green Chem. 2020, DOI 10.1039/D0GC01247E, Table 3; native +1.8/-1.7 V vs SCE; SCE->Ag/AgCl +0.045 V",A-crossref,True,True,Conservative Pt row; the same table reports a wider Au window.
DCM,TBAClO4,2.045,-1.455,Ag/AgCl,0.1 M TBAClO4,Au,,practical CV edge,"Yan et al., Green Chem. 2020, DOI 10.1039/D0GC01247E, Table 3; native +2.0/-1.5 V vs SCE; SCE->Ag/AgCl +0.045 V",A-crossref,True,True,Exact formulation replicate on Au; conservative selector chooses Pt 1.845 V.
DMF,TBAClO4,1.745,-2.155,Ag/AgCl,0.1 M TBAClO4,Pt,,practical CV edge,"Yan et al., Green Chem. 2020, DOI 10.1039/D0GC01247E, Table 3; native +1.7/-2.2 V vs SCE; SCE->Ag/AgCl +0.045 V",A-crossref,True,True,Mandatory amide-solvent control.
DMSO,TBAPF6,1.045,-0.955,Ag/AgCl,0.01 M TBAPF6,Pt,,practical CV edge,"Yan et al., Green Chem. 2020, DOI 10.1039/D0GC01247E, Table 3; native +1.0/-1.0 V vs SCE; SCE->Ag/AgCl +0.045 V",A-crossref,True,True,Mandatory sulfoxide-solvent control.
propylene carbonate,,3.6,-3.0,Ag/AgCl,0.65 M Et4NBF4,glassy carbon,25,1 mA/cm2,"Gong et al., Energy Environ. Sci. 2015, DOI 10.1039/C5EE02341F, citing Ue; native +3.8/-2.8 V vs SHE; SHE->Ag/AgCl -0.197 V",B-crossref,True,True,No exact library-salt claim; solvent-only conservative evidence.
GBL,,5.2,-3.0,Ag/AgCl,0.65 M Et4NBF4,glassy carbon,25,1 mA/cm2,"Gong et al., Energy Environ. Sci. 2015, DOI 10.1039/C5EE02341F, citing Ue; native +5.4/-2.8 V vs SHE; SHE->Ag/AgCl -0.197 V",B-crossref,True,True,Formulation-limited high value; retained with explicit caveat and condition metadata.
nitromethane,,2.7,-1.2,Ag/AgCl,0.65 M Et4NBF4,glassy carbon,25,1 mA/cm2,"Gong et al., Energy Environ. Sci. 2015, DOI 10.1039/C5EE02341F, citing Ue; native +2.9/-1.0 V vs SHE; SHE->Ag/AgCl -0.197 V",B-crossref,False,True,No exact library-salt claim; solvent-only evidence.
benzonitrile,TBAClO4,1.844,-1.906,Ag/AgCl,0.1 M TBAP,Pt,,,"IUPAC Pure Appl. Chem. 1987, 59, 703, DOI 10.1351/pac198759050703; native +1.8/-1.95 V vs SCE; SCE->Ag/AgCl +0.044 V",A,False,True,TBAP identified as tetrabutylammonium perchlorate in the source review.
nitrobenzene,,1.844,-1.006,Ag/AgCl,0.1 M TEABF4/TBAP-type,Pt,,,Solvent-window review; native anodic midpoint +1.8 V and cathodic -1.05 V vs SCE; SCE->Ag/AgCl +0.044 V,B-approx,False,True,Approximate anodic edge; no exact library-salt claim.
THF,,2.205,-3.245,Ag/AgCl,Bu4NClO4,Pt,,10 uA/mm2,"Izutsu, Electrochemistry in Nonaqueous Solutions, Table 8 (V vs Fc/Fc+); compilation ref [1] bridged to Ag/AgCl via Fc->Ag/AgCl +0.605 V (Connelly & Geiger 1996 Fc-vs-SCE + SCE->Ag/AgCl +0.045)",C-fcbridge,False,True,Fc-scale window +1.60/-3.85 V vs Fc/Fc+ (Izutsu Table 8) bridged cross-paper to Ag/AgCl; medium confidence; conservative-cap gate policy still applies.
