proposal_id,record_id,directive_combination_id,action,target_file,production_current_status,proposed_status,requires_branch_pr,source_id,reason,blocked_by,notes
G12-P001,PROD005,combo-dfefd127bd763a7f,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P002,PROD006,combo-0ecf90b225de5655,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P003,PROD007,combo-9a2386cd2b75a4e6,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P004,PROD008,combo-e40bb97d9f1e47b9,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P005,PROD009,combo-3eaa74735cde40e9,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P006,PROD010,combo-33eb572ed2333865,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P007,PROD011,combo-7e352e5cfbe42e8d,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P008,PROD012,combo-1cbc7e840d413016,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P009,PROD013,combo-5a7da977c7dbdf3f,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P010,PROD014,combo-4b39a8327f6144e5,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
