solvent,salt_or_electrolyte,concentration,anion,working_electrode,reference,native_anodic_limit_V,native_cathodic_limit_V,converted_anodic_vs_AgAgCl_V,converted_cathodic_vs_AgAgCl_V,conversion_method,cutoff_criterion,source_doi,exact_locator,primary_or_compilation,match_scope,electrolyte_limited,promotion_risk,recommendation
acetonitrile,Et4NBF4,0.65 M,BF4,glassy carbon,SHE,3.5,-2.6,3.303,-2.797,SHE->Ag/AgCl: orig - 0.197,1 mA cm-2; 5 mV s-1; 25 C,10.1039/C5EE02341F,Table 1 citing Ue/Ida/Mori J. Electrochem. Soc. 1994 ref.59,compilation citing primary,solvent-only,TRUE,medium - crossref compilation already represented in production benchmark,Keep as validation cross-check; production duplicate rather than new promotion.
acetonitrile,TBABF4,0.1 M,BF4,Pt,SCE,3.2,-3.1,3.245,-3.055,SCE->Ag/AgCl: orig + 0.045,not stated,10.1039/D0GC01247E,Table 3 MeCN/TBABF4/Pt row,compilation,exact-salt,TRUE,high - low confidence and no cutoff criterion,Human source-check before using as exact-salt gate evidence.
acetonitrile,LiClO4,not stated,ClO4,Pt,SCE,2.4,-3.5,2.445,-3.455,SCE->Ag/AgCl: orig + 0.045,not stated,10.1039/D0GC01247E,Table 3 MeCN/LiClO4/Pt row,compilation,exact-salt,TRUE,high - no concentration/cutoff and lower anodic edge may be anion-limited,Review as a conservative exact-salt cap only.
dichloromethane,TBAClO4 / TBAP,0.1 M,ClO4,Pt,SCE,1.8,-1.95,1.845,-1.905,SCE->Ag/AgCl: orig + 0.045,not stated,10.1351/pac198759050703,Pt/TBAP benzonitrile/nitrobenzene-style solvent-window compilation,compilation,exact-salt,TRUE,high - lower confidence compilation than Black/Bartlett DMFc source,Use only if exact primary DCM row remains unavailable.
propylene carbonate,Et4NBF4,0.65 M,BF4,glassy carbon,SHE,3.8,-2.8,3.603,-2.997,SHE->Ag/AgCl: orig - 0.197,1 mA cm-2; 5 mV s-1,10.1149/1.2059270,Ue/Ida/Mori primary row as reproduced in Gong 2015,primary/crossref,solvent-only,TRUE,medium - generic Et4NBF4 not current TBA salt,Already production-represented; use as PC validation anchor not as PF6/ClO4/TFSI exact evidence.
"N,N-dimethylformamide",TBAClO4,0.1 M,ClO4,Pt,SCE,1.7,-2.2,1.745,-2.155,SCE->Ag/AgCl: orig + 0.045,not stated,10.1039/D0GC01247E,Table 3 DMF/TBAClO4/Pt row,compilation,exact-salt,TRUE,medium - source-check cutoff missing,Review for exact-salt measured-first gate coverage.
dimethyl sulfoxide,TBAPF6,0.01 M,PF6,Pt,SCE,1.0,-1.0,1.045,-0.955,SCE->Ag/AgCl: orig + 0.045,not stated,10.1039/D0GC01247E,Table 3 DMSO/TBAPF6/Pt row,compilation,exact-salt,TRUE,medium-high - narrow window and low concentration,Keep as conservative DMSO cap; source-check before promotion.
water,KCl,0.1 M,Cl,C/SCE table row,SCE,1.1,-1.3,1.145,-1.255,SCE->Ag/AgCl: orig + 0.045,not stated,10.1039/D0GC01247E,Table 3 water/KCl/carbon row,compilation,exact-salt,FALSE,medium - not Pt and not pH-resolved,Good control-row cross-check; do not generalize to all aqueous electropolymerization.
water,saturated NaClO4,saturated,ClO4,glassy carbon,Ag/AgCl,2.3,-2.0,2.300,-2.000,identity; native Ag/AgCl,not stated,10.1038/srep45048,aqueous saturated-NaClO4 GC row,primary,exact-salt,FALSE,high - unusually wide aqueous window on GC/saturated salt,Park unless water schema becomes pH/electrode-resolved.
gamma-butyrolactone,Et4NBF4,0.65 M,BF4,glassy carbon,SHE,5.4,-2.8,5.203,-2.997,SHE->Ag/AgCl: orig - 0.197,1 mA cm-2; 5 mV s-1,10.1039/C5EE02341F,Table 1 citing Ue/Ida/Mori,compilation citing primary,solvent-only,TRUE,high - 8.2 V outlier/formulation-limited wide window,Keep capped by conservative gate; do not use to relax admission.
benzonitrile,TBAP / TBAClO4,0.1 M,ClO4,Pt,SCE,1.8,-1.95,1.845,-1.905,SCE->Ag/AgCl: orig + 0.045,not stated,10.1351/pac198759050703,Pt/TBAP row in IUPAC Pure Appl. Chem. 1987,compilation/primary-style,exact-salt,FALSE,low - cleanest aromatic-solvent candidate,Promotion-ready after human check of exact table line.
benzonitrile,TBA(PF6),0.2 M,PF6,not stated,SCE,,-2.2,,-2.155,SCE->Ag/AgCl: orig + 0.045,not stated,10.1351/pac198759050703,secondary row with cathodic limit only,compilation,same-anion,UNKNOWN,high - one-sided and working electrode missing,Park; useful only as supporting evidence for PF6 cathodic side.
