gap_area,current_coverage,blocking_issue,section7_impact,next_action,priority
PC exact BF4/PF6/ClO4/TFSI rows,Only generic 0.65 M Et4NBF4 GC row is convertible; Bu4NBF4 staging row is Ag/AgNO3 and unconverted,PC dominates corrected shortlist but current evidence is solvent-only / same-anion rather than exact current salts,Measured-first gate cannot distinguish PC salt choices or confirm anion-specific survivor evidence,Find primary Pt/GC rows vs Ag/AgCl/SCE/SHE or source-internal Fc calibration for PC with BF4/PF6/ClO4/TFSI,high
MeCN TBAPF6 exact row,MeCN has TBABF4 and LiClO4 staging/production rows plus Ue Et4NBF4 benchmark,Most electropolymerization labels use TBAPF6 but exact ESW staging is missing,Validation can compare Eox/polymerization in MeCN/TBAPF6 only against same-solvent or same-anion evidence,Curate a primary MeCN/TBAPF6/Pt or GC ESW row with cutoff criterion,high
Nitromethane primary Ue correction,Production has Ue-derived +2.70/-1.20 V; staging includes one likely swapped row and one unconverted primary placeholder,Staging provenance is internally inconsistent and needs primary source confirmation,Nitromethane appears in corrected top-30 and needs clean validation provenance,Read Ue J. Electrochem. Soc. 1994 row directly and replace swapped staging row with a source-checked review note,high
NMP full ESW,No sourced full-condition ESW in staging; production/library values are fallback-style,NMP is a survivor solvent but not covered by solvent_benchmark.csv,ESW MAE and measured-first gate coverage remain incomplete for NMP,Find primary Pt/GC tetraalkylammonium NMP anodic/cathodic limits vs Ag/AgCl/SCE/SHE,high
Nitrobenzene conditioned row,Production has approximate review value; staging has no full-condition nitrobenzene candidate,Current benchmark coverage is weaker than benzonitrile despite priority aromatic-solvent role,ESW validation for aromatic radical-cation solvents is underpowered,Recover IUPAC/primary nitrobenzene Pt/TBAP table line or a modern conditioned CV row,medium
GBL wide-window control,Convertible Ue/Gong row exists but is flagged formulation-limited/outlier,Wide GBL windows can incorrectly relax gates without conservative capping,GBL must remain capped and diagnostic until exact formulation evidence is source-checked,Verify Ue primary and add note that row is electrolyte/formulation-limited rather than intrinsic solvent ESW,medium
Sulfolane electropolymerization-scale ESW,Only Li/Li+ battery-context rows are staged and none are convertible,Sulfolane cannot be promoted into Ag/AgCl measured-first validation from current staging,No solvent_benchmark MAE point and no reliable measured-first gate row,Find Pt/GC tetraalkylammonium sulfolane row vs SCE/AgAgCl or park sulfolane from measured-first claims,medium
THF reference scale,Only Fc/Fc+ outside MeCN / bare Ag pseudo-reference staging rows are available,Pinned Fc->Ag/AgCl conversion is MeCN-only,THF cannot be converted honestly for validation/gate rows,Find SCE/SHE/AgAgCl THF row or a source-internal Fc calibration tied to Ag/AgCl in THF,medium
DMSO modern primary row,One SCE compilation row is convertible; one high-confidence Fc/Fc+ DMSO row is unconvertible,Current DMSO gate rests on a secondary low-window table row,DMSO remains zero-survivor under capped gate but should be source-backed if used as negative control,Find primary DMSO/TBAPF6 Pt/GC row with cutoff or pin source-internal DMSO Fc conversion,low
DCM best-source conversion,Best-conditioned Black/Bartlett DCM row uses DMFc0/+ and is unconverted; convertible DCM row is lower-confidence SCE compilation,Exact DCM gate relies on weaker source while high-quality row is not on project reference scale,DCM validation could improve if DMFc relation is source-pinned,Do not convert DMFc by assumption; use lower-confidence row until a source-specific relation is recovered,low
