file,row_number,source_key,classification,canonical_smiles,duplicate_internal,duplicate_production,issue_type,message
data/lit_curation/solvent_esw_staging.csv,2,acetonitrile,PROMOTE_NOW_CANDIDATE,,False,False,promotion_candidate,Converted conditioned ESW row is review-ready.
data/lit_curation/solvent_esw_staging.csv,3,acetonitrile,PARK,,False,True,production_duplicate,Same solvent and Ag/AgCl limits already exist in production ESW/benchmark data.
data/lit_curation/solvent_esw_staging.csv,4,acetonitrile,PARK,,False,True,production_duplicate,Same solvent and Ag/AgCl limits already exist in production ESW/benchmark data.
data/lit_curation/solvent_esw_staging.csv,5,dichloromethane,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,6,dichloromethane,NEEDS_SOURCE_CHECK,,False,False,source_check,Low-confidence ESW row needs primary-source check.
data/lit_curation/solvent_esw_staging.csv,7,propylene carbonate,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,8,propylene carbonate,PROMOTE_NOW_CANDIDATE,,False,False,promotion_candidate,Converted conditioned ESW row is review-ready.
data/lit_curation/solvent_esw_staging.csv,9,"N,N-dimethylformamide",PROMOTE_NOW_CANDIDATE,,False,False,promotion_candidate,Converted conditioned ESW row is review-ready.
data/lit_curation/solvent_esw_staging.csv,10,"N,N-dimethylformamide",NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,11,dimethyl sulfoxide,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,12,dimethyl sulfoxide,PROMOTE_NOW_CANDIDATE,,False,False,promotion_candidate,Converted conditioned ESW row is review-ready.
data/lit_curation/solvent_esw_staging.csv,13,tetrahydrofuran,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,14,tetrahydrofuran,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,15,nitromethane,REJECT,,False,False,known_extraction_error,Anodic/cathodic assignment is flagged as likely swapped.
data/lit_curation/solvent_esw_staging.csv,16,nitromethane,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,17,nitromethane,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,18,water,PARK,,False,True,production_duplicate,Same solvent and Ag/AgCl limits already exist in production ESW/benchmark data.
data/lit_curation/solvent_esw_staging.csv,19,water,PROMOTE_NOW_CANDIDATE,,False,False,promotion_candidate,Converted conditioned ESW row is review-ready.
data/lit_curation/solvent_esw_staging.csv,20,water,PROMOTE_NOW_CANDIDATE,,False,False,promotion_candidate,Converted conditioned ESW row is review-ready.
data/lit_curation/solvent_esw_staging.csv,21,gamma-butyrolactone,PROMOTE_NOW_CANDIDATE,,False,False,promotion_candidate,Converted conditioned ESW row is review-ready.
data/lit_curation/solvent_esw_staging.csv,22,gamma-butyrolactone,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,23,sulfolane,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,24,sulfolane,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,25,sulfolane,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/solvent_esw_staging.csv,26,benzonitrile,PROMOTE_NOW_CANDIDATE,,False,False,promotion_candidate,Converted conditioned ESW row is review-ready.
data/lit_curation/solvent_esw_staging.csv,27,benzonitrile,NEEDS_REFERENCE_CONVERSION_CHECK,,False,False,reference_conversion,No pinned Ag/AgCl conversion is available for this reference/solvent.
data/lit_curation/polymerization_outcomes_staging.csv,2,furan,NEEDS_SOURCE_CHECK,c1ccoc1,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,3,furan,NEEDS_CONDITION_MATCH_CHECK,c1ccoc1,False,False,condition_match,Conditional row contains possible negative evidence but must be mapped to an explicit triad condition.
data/lit_curation/polymerization_outcomes_staging.csv,4,furan,NEEDS_SOURCE_CHECK,c1ccoc1,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,5,furan,NEEDS_CONDITION_MATCH_CHECK,c1ccoc1,False,False,condition_match,Conditional row contains possible negative evidence but must be mapped to an explicit triad condition.
data/lit_curation/polymerization_outcomes_staging.csv,6,terfuran,NEEDS_SOURCE_CHECK,c1coc(-c2ccc(-c3ccco3)o2)c1,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,7,bifuran,NEEDS_CONDITION_MATCH_CHECK,c1coc(-c2ccco2)c1,False,False,condition_match,Conditional outcome needs binary mapping.
data/lit_curation/polymerization_outcomes_staging.csv,8,selenophene,NEEDS_CONDITION_MATCH_CHECK,c1cc[se]c1,False,False,condition_match,Conditional row contains possible negative evidence but must be mapped to an explicit triad condition.
data/lit_curation/polymerization_outcomes_staging.csv,9,thiophene,PROMOTE_NOW_CANDIDATE,c1ccsc1,False,False,promotion_candidate,Positive film-growth evidence is review-ready.
data/lit_curation/polymerization_outcomes_staging.csv,10,EDOT,PROMOTE_NOW_CANDIDATE,c1scc2c1OCCO2,False,False,promotion_candidate,Positive film-growth evidence is review-ready.
data/lit_curation/polymerization_outcomes_staging.csv,11,carbazole,NEEDS_SOURCE_CHECK,c1ccc2c(c1)[nH]c1ccccc12,True,True,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,12,aniline,NEEDS_SOURCE_CHECK,Nc1ccccc1,False,False,source_check,Outcome needs source-confidence review.
data/lit_curation/polymerization_outcomes_staging.csv,13,pyrrole,NEEDS_SOURCE_CHECK,c1cc[nH]c1,False,False,source_check,Outcome needs source-confidence review.
data/lit_curation/polymerization_outcomes_staging.csv,14,selenophene,NEEDS_CONDITION_MATCH_CHECK,c1cc[se]c1,False,False,condition_match,Conditional outcome needs binary mapping.
data/lit_curation/polymerization_outcomes_staging.csv,15,EDOS,NEEDS_SOURCE_CHECK,c1[se]cc2c1OCCO2,True,True,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,16,3-fluorothiophene,NEEDS_CONDITION_MATCH_CHECK,Fc1ccsc1,False,False,condition_match,Conditional row contains possible negative evidence but must be mapped to an explicit triad condition.
data/lit_curation/polymerization_outcomes_staging.csv,17,"3,4-difluorothiophene",NEEDS_SOURCE_CHECK,Fc1cscc1F,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,18,3-methoxythiophene,PROMOTE_NOW_CANDIDATE,COc1ccsc1,False,False,promotion_candidate,Positive film-growth evidence is review-ready.
data/lit_curation/polymerization_outcomes_staging.csv,19,3-methylthiophene,PROMOTE_NOW_CANDIDATE,Cc1ccsc1,False,False,promotion_candidate,Positive film-growth evidence is review-ready.
data/lit_curation/polymerization_outcomes_staging.csv,20,thiophene,NEEDS_CONDITION_MATCH_CHECK,c1ccsc1,False,False,condition_match,Conditional outcome needs binary mapping.
data/lit_curation/polymerization_outcomes_staging.csv,21,EDOT,PROMOTE_NOW_CANDIDATE,c1scc2c1OCCO2,False,False,promotion_candidate,Positive film-growth evidence is review-ready.
data/lit_curation/polymerization_outcomes_staging.csv,22,furan,NEEDS_SOURCE_CHECK,c1ccoc1,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,23,aniline,PROMOTE_NOW_CANDIDATE,Nc1ccccc1,False,False,promotion_candidate,Positive film-growth evidence is review-ready.
data/lit_curation/polymerization_outcomes_staging.csv,24,o-methoxyaniline,NEEDS_SOURCE_CHECK,COc1ccccc1N,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,25,o-toluidine,NEEDS_SOURCE_CHECK,Cc1ccccc1N,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,26,diphenylamine,NEEDS_CONDITION_MATCH_CHECK,c1ccc(Nc2ccccc2)cc1,False,False,condition_match,Conditional outcome needs binary mapping.
data/lit_curation/polymerization_outcomes_staging.csv,27,carbazole,PROMOTE_NOW_CANDIDATE,c1ccc2c(c1)[nH]c1ccccc12,False,False,promotion_candidate,Positive film-growth evidence is review-ready.
data/lit_curation/polymerization_outcomes_staging.csv,28,N-vinylcarbazole,NEEDS_SOURCE_CHECK,C=Cn1c2ccccc2c2ccccc21,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,29,"fluorene 9,9-dioctyl",NEEDS_CONDITION_MATCH_CHECK,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccccc21,False,False,condition_match,Conditional outcome needs binary mapping.
data/lit_curation/polymerization_outcomes_staging.csv,30,"9,9-dimethylfluorene",NEEDS_SOURCE_CHECK,CC1(C)c2ccccc2-c2ccccc21,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,31,furan,NEEDS_SOURCE_CHECK,c1ccoc1,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,32,terfuran,NEEDS_SOURCE_CHECK,c1coc(-c2ccc(-c3ccco3)o2)c1,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,33,selenophene,NEEDS_CONDITION_MATCH_CHECK,c1cc[se]c1,False,False,condition_match,Conditional outcome needs binary mapping.
data/lit_curation/polymerization_outcomes_staging.csv,34,N-methylpyrrole,NEEDS_CONDITION_MATCH_CHECK,Cn1cccc1,False,False,condition_match,Conditional outcome needs binary mapping.
data/lit_curation/polymerization_outcomes_staging.csv,35,N-octylpyrrole,NEEDS_CONDITION_MATCH_CHECK,CCCCCCCCn1cccc1,False,False,condition_match,Conditional outcome needs binary mapping.
data/lit_curation/polymerization_outcomes_staging.csv,36,carbazole,NEEDS_CONDITION_MATCH_CHECK,c1ccc2c(c1)[nH]c1ccccc12,False,False,condition_match,Conditional row contains possible negative evidence but must be mapped to an explicit triad condition.
data/lit_curation/polymerization_outcomes_staging.csv,37,N-vinylcarbazole,NEEDS_SOURCE_CHECK,C=Cn1c2ccccc2c2ccccc21,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,38,"3,4-difluorothiophene",NEEDS_SOURCE_CHECK,Fc1cscc1F,True,False,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,39,3-fluorothiophene,NEEDS_SOURCE_CHECK,Fc1ccsc1,False,False,source_check,No DOI or stable source identifier is recorded.
data/lit_curation/polymerization_outcomes_staging.csv,40,thiophene,NEEDS_CONDITION_MATCH_CHECK,c1ccsc1,False,False,condition_match,Conditional row contains possible negative evidence but must be mapped to an explicit triad condition.
data/lit_curation/polymerization_outcomes_staging.csv,41,EDOT,PROMOTE_NOW_CANDIDATE,c1scc2c1OCCO2,False,False,promotion_candidate,Positive film-growth evidence is review-ready.
data/lit_curation/polymerization_outcomes_staging.csv,42,EDOS,NEEDS_SOURCE_CHECK,c1[se]cc2c1OCCO2,True,True,internal_duplicate,Semantic duplicate inside staging file.
data/lit_curation/polymerization_outcomes_staging.csv,43,pyrrole,PROMOTE_NOW_CANDIDATE,c1cc[nH]c1,False,False,promotion_candidate,Positive film-growth evidence is review-ready.
